nquest;area3;b19b;b19a;b16;ncomp;sex;studio;staciv;cleta5;eta;cfred
626259;1;2;2;2;2;1;5;1;5;66;1
627067;3;2;2;2;2;1;3;1;5;89;1
628418;2;2;2;2;3;1;3;1;5;74;1
629458;3;2;2;2;3;1;5;1;5;66;1
630345;3;2;2;2;2;2;4;1;4;62;1
631016;1;2;2;2;2;1;7;1;5;87;1
631306;2;2;2;2;4;1;3;4;5;81;1
631954;3;2;2;2;2;1;1;1;5;74;1
632099;3;2;2;2;2;1;5;3;5;80;1
632118;3;2;2;2;2;1;5;1;5;79;1
633412;1;2;2;1;2;1;6;1;3;51;1
633654;1;2;2;2;2;1;3;1;5;66;1
633941;1;2;2;2;1;2;7;4;5;93;1
634442;2;2;2;2;2;1;2;1;5;82;1
635007;2;2;2;2;1;2;2;4;5;84;1
635112;1;2;2;1;4;1;5;1;4;56;1
635513;3;2;2;2;3;1;3;1;4;59;1
635514;3;2;2;2;2;1;3;1;4;57;1
636206;3;2;2;2;1;1;1;4;5;89;1
636289;1;2;2;2;2;1;4;1;5;72;1
636401;3;2;2;2;1;1;2;4;5;89;1
636407;3;2;2;2;2;1;2;1;5;75;1
636418;3;2;2;2;2;1;1;1;5;94;1
637701;2;2;2;2;4;1;3;2;3;46;1
638250;1;2;2;2;2;1;3;1;5;75;1
638339;1;2;2;2;2;1;3;1;5;69;1
638360;1;2;2;2;2;1;7;1;5;76;1
639013;3;2;2;2;2;2;2;4;4;64;1
639331;1;2;2;1;1;2;5;3;4;60;1
639575;1;2;2;2;1;2;2;3;5;84;1
639924;3;2;2;2;4;1;3;1;4;59;1
639971;3;2;2;2;4;2;5;2;1;27;1
640164;2;2;2;2;2;1;5;1;5;74;1
641084;3;2;2;2;1;2;3;4;5;75;1
648534;3;2;2;2;2;1;2;1;5;68;1
648636;3;2;2;2;2;2;2;4;5;94;1
649032;1;2;2;2;2;1;3;1;5;72;1
649054;1;2;2;2;4;1;3;1;4;56;1
649071;1;2;2;2;2;1;2;1;5;75;1
649089;1;2;2;2;4;1;3;1;4;58;1
650027;1;2;2;2;1;1;3;3;5;67;1
650091;3;2;2;2;3;2;3;1;5;77;1
670362;3;2;2;2;3;1;3;2;3;54;1
670485;3;2;2;2;2;1;2;1;5;68;1
670670;3;2;2;2;1;1;2;4;5;83;1
